sid,s_title,s_songLength,s_songURL,s_genre,s_releaseDate,s_lyricURL,s_aid,s_arid
1,Dawn FM,1:35,https://youtu.be/w8eFZoOcYKc,RnB,1/7/2022,https://genius.com/The-weeknd-dawn-fm-lyrics,1,1
2,Gasoline,4:50,https://youtu.be/iOa7uE23qc4,RnB,1/7/2022,https://genius.com/The-weeknd-gasoline-lyrics,1,1
3, How Do I Make You Love Me?,3:34,https://youtu.be/g4tHn1Ng_iM,RnB,1/7/2022,https://genius.com/The-weeknd-how-do-i-make-you-love-me-lyrics,1,1
4,Take My Breath,3:44,https://youtu.be/rhTl_OyehF8,RnB,8/9/2021,https://genius.com/The-weeknd-take-my-breath-extended-version-lyrics,1,1
5,Sacrifice,4:03,https://youtu.be/VafTMsrnSTU,RnB,1/7/2022,https://genius.com/The-weeknd-sacrifice-lyrics,1,1
6,Alone Again,4:11,https://youtu.be/JH398xAYpZA,RnB,3/20/2020,https://genius.com/The-weeknd-alone-again-lyrics,2,1
7,Too Late,4:01,https://youtu.be/nl71vFvVOvw,RnB,3/20/2020,https://genius.com/The-weeknd-too-late-lyrics,2,1
8,Hardest To Love,3:32,https://youtu.be/pM3nIOYF2W8,RnB,3/20/2020,https://genius.com/The-weeknd-hardest-to-love-lyrics,2,1
9,Scared To Live,3:12,https://youtu.be/MzsU_sn2aIE,RnB,3/20/2020,https://genius.com/The-weeknd-scared-to-live-lyrics,2,1
10,Snowchild ,4:11,https://youtu.be/G0JKdFjWkLA,RnB,3/20/2020,https://genius.com/The-weeknd-snowchild-lyrics,2,1
11,Somebody To Love,5:09,https://youtu.be/kijpcUv-b8M,Classic Rock,11/19/1976,https://genius.com/Queen-somebody-to-love-lyrics,3,2
12,You and I,3:34,https://youtu.be/ir05RhMqpPI,Classic Rock,12/10/1976,https://genius.com/Queen-you-and-i-lyrics,3,2
13,Long Away,3:38,https://youtu.be/2CeO8I0cwQo,Classic Rock,12/10/1976,https://genius.com/Queen-long-away-lyrics,3,2
14,Teo Torriatte,5:58,https://youtu.be/Ge18n2JCwBs,Classic Rock,12/25/1976,https://genius.com/Queen-teo-torriatte-let-us-cling-together-lyrics,3,2
15,The Millionaire Waltz,5:01,https://youtu.be/H-P0VznfK_E,Classic Rock,12/10/1976,https://genius.com/Queen-the-millionaire-waltz-lyrics,3,2
16,Superstar,3:50,https://youtu.be/UAT71NL-FNw,Pop,5/14/1971,https://genius.com/Carpenters-superstar-lyrics,4,3
17,Rainy Days and Mondays,3:40,https://youtu.be/b5hQUvqAULc,Pop,4/23/1971,https://genius.com/Carpenters-rainy-days-and-mondays-lyrics,4,3
18,For All We Know,2:34,https://youtu.be/D0K2pp4sVEo,Pop,1/15/1971,https://genius.com/Carpenters-for-all-we-know-lyrics,4,3
19,Sometimes,3:50,https://youtu.be/UAT71NL-FNw,Pop,5/14/1971,https://genius.com/Carpenters-sometimes-lyrics,4,3
20,Let Me Be The One,2:24,https://youtu.be/vls7EAgMwn4,Pop,5/14/1971,https://genius.com/Carpenters-let-me-be-the-one-lyrics,4,3
21,Rise,3:17,https://youtu.be/hdw1uKiTI5c,Pop,7/15/2016,https://genius.com/Katy-perry-rise-lyrics,,4
22,Pretty Girls,4:31,https://youtu.be/uV2uebhnqOw,Pop,5/4/2015,https://genius.com/Britney-spears-and-iggy-azalea-pretty-girls-lyrics,,5
23,It's My Birthday,4:21,https://youtu.be/JuM7hObGjWI,Pop,5/27/2014,https://genius.com/William-its-my-birthday-lyrics,,6
24,Live It Up,4:30,https://youtu.be/BofL1AaiTjo,Pop,5/8/2013,https://genius.com/Jennifer-lopez-live-it-up-lyrics,,7
25,everything i wanted,4:47,https://youtu.be/EgBJmlPo8Xw,Pop,11/13/2019,https://genius.com/Billie-eilish-everything-i-wanted-lyrics,,8
